Date,Aflac,Allstate,American Express,Ameriprise Financial,Assurant,Bank of America,Berkshire Hathaway,BlackRock,CME Group,Capital One,Cincinnati Financial,Citizens Bank,Fifth Third Bank,Franklin Resources,Goldman Sachs,Invesco,JPMorgan Chase,Jack Henry & Associates,M&T Bank,MasterCard,MetLife,Morgan Stanley,PNC Bank,PayPal,Progressive Insurance,Raymond James Financial,Regions Financial Corporation,State Street Corporation,T. Rowe Price,U.S. Bank,Wells Fargo
2019-01-02,-2.5263653653649456,-1.641347804885616,-2.3515886212620414,-2.6491298949657938,-1.598218464371362,-1.6025626330215246,-5.493096263319759,-2.937702749457996,-2.1985137357466855,-1.423761899697461,-1.6133313625914514,-0.4588639416525232,-0.08264651707904541,-1.8425498739712216,-1.4648632740467182,-2.434678406752286,-2.2152824512398004,-2.3834439377430496,-0.7108832794780607,-4.511443327480688,-1.9198446657402268,-1.7821811720524712,-0.45450797628460904,-4.26822584502551,-1.688333627770687,-3.376555748832174,-0.14630912693523682,-3.253561428320997,-3.299214830267564,-1.4023683550810713,-0.7882380543450384
2019-01-03,1.2395746006324815,2.9514259366340325,4.506046313519527,5.35680776836432,2.018941137149779,4.153096416708453,1.8470172276390746,3.6615683199160727,1.752062080320248,4.438021390352904,2.0026852596921763,4.115903738748637,2.3986762464263,3.276453982316221,3.268248908295764,5.051734073581167,3.686542898315108,2.317906030506627,3.07243024481627,4.735623235402429,3.449963015076332,4.082658567100505,2.502753697372932,5.09197282452113,2.2840491868628456,4.053678454129371,3.6630037653717986,3.7833533144940237,3.569424485400288,2.472649998359764,2.963283395229671
2019-01-04,0.5342869284280559,-0.15724840485940855,0.5428090768229545,0.46057481384876064,0.39801063847195484,-0.07818787264785355,0.876028043340888,0.2781880244794724,-0.5035698032617523,0.5531838525794576,-0.44801204457118654,1.2333885893383798,0.5654256395568695,0.4957026351477084,0.5541280798585992,1.2166806586784196,0.06952000509184769,-0.17736312405620536,1.2274125567856848,0.7693964777252159,0.6386009119183681,0.9927357263585518,-0.22272066731366214,0.7650442654357285,0.8059092195581753,0.4701778330987454,1.6961182421389391,1.2462928679486045,-0.14134037624244122,-0.4697869145869521,-0.6465096316132192
2019-01-07,0.31000750691202705,-0.012117925998940906,0.4889511723403716,0.6292741739297604,0.12113270929292372,-0.19561517255571617,-0.30471082847838166,1.2725560442334392,-0.5931952859268863,0.050004106594408404,-0.09265346392674974,0.0,0.522092651031551,0.5919115622458619,-0.36928141091696026,-1.0875708882469435,-0.18856931061729765,1.696009109430558,0.43304055300045113,0.5543340402818623,0.517041656046627,-0.6233477037643774,0.1570787391239656,2.036117148110744,1.149231539286235,0.7220228759420068,1.0423878731863703,0.43083364902365695,0.5117052025161968,0.6436370588545335,-0.20990444039095044
2019-01-08,-0.22074718720808198,0.7633647063260837,0.182463560457774,1.0362658633333914,0.6159318073760616,0.9800078312698551,0.030562660761009188,0.5729935810392501,-2.244610763886727,0.6873320105362305,1.00688191976097,1.3120962376309835,0.07989832147990743,-0.8826428781198619,0.6272487507230459,0.23147573257692833,-0.16903467183172455,0.333543658713997,1.0613639160966004,1.8150642372168606,1.7068027459041506,0.6996403140880862,-0.28064710111663815,0.9582932725596559,0.9385801072298657,1.8319357757523203,1.1004116081972704,2.313470528408362,0.3574543242477811,1.0658708199240883,0.546904325885874
2019-01-09,1.2610612504493028,0.4569471340597221,-0.5767476315527936,0.3006224331319861,1.114994103232176,-0.11646229184375129,0.10694440041201918,-0.17241871041177081,0.7224510318995517,-0.7695206018746702,1.3903531186902258,-0.5858730339840942,-0.5189587414209283,0.4947217019790261,-0.2663349110058177,1.327941953169084,-0.009962286930733382,-0.16621742168729955,-1.2536945097406857,0.6027443684064264,-0.2988530301499641,-0.19166705279736382,-1.0181241225028033,1.2841919121093939,1.0929885676695257,-0.22160899964225092,0.06802876878633005,-0.4043076489994046,-0.3885597457340651,-0.21092274719033186,-0.10460091602215174
2019-01-10,-0.17479097717842476,-0.1077375703839949,0.2951362805032812,0.0,0.08648846600505221,1.1659586076428863,-0.14752698251122967,-0.3979965801979036,0.3892115232063394,1.2382808392162536,-0.32341525243227653,1.2096754632271605,0.5617953018451913,-0.45946633673561693,0.5284049294211648,-0.9686614454942772,-0.4781310194813653,0.47570452436474614,0.2459419776542523,-0.5331317938703607,0.8070147508374611,0.19203512085384022,0.3930433295754196,-0.055121746466899296,-0.4679698399464601,0.9276158230187865,0.4758646814594886,0.751766627485389,-2.2104246346194625,0.2747775304258434,0.251306663633017
2019-01-11,0.5252827438837048,0.41942015136646166,-0.11161908365826323,0.5289126068478514,1.1017461902061412,1.306185722700826,-0.25981686498532613,-0.374454077721616,-1.0412654948964823,0.5683210657247717,0.7138162239835677,1.3178065923999027,1.2370366316739985,0.03297141083743713,1.011704413621952,0.9781362744694568,1.030926575461117,-0.22883366830708093,0.15250694997836794,-0.23991895627700066,0.5718206610699161,1.7728745424351238,0.4164931172758341,-0.24269301378921512,-0.16212463298691412,0.3365674065154733,1.217864062434568,2.1638515177097926,1.04155395169666,0.7377788763706103,1.148943491398762
2019-01-14,1.0232989714353677,0.5131268371317338,-0.45713588630249363,0.9996487026450196,0.9615401074261154,0.6825877591909139,0.5925036619379332,1.082179981340875,1.8413883576642431,0.14741414611564943,0.05154757256945527,0.12098336106661978,0.3547427759642805,1.0547122386778365,0.665847377617631,1.4245014864278283,0.7331066434232555,1.866498390369162,0.2714537078485278,0.5577504157655016,0.2046853538532866,0.9416231878279547,0.4728325843173305,1.293816393892401,0.7307517617111565,0.05160988742385677,1.0026712443033738,0.2921480869287385,1.7107111709928229,0.3766484656360359,-1.5489467748080596
2019-01-15,0.8836203317438214,0.36803697760773246,1.4491334108548704,2.6740769429536955,-0.09523421999007936,7.156314804057459,0.7464208400933947,3.0770425876006677,0.18135115414923575,2.57606254905831,0.3864026972130698,2.5679828640563995,3.1421884256746955,1.076320695852543,9.543659507223646,2.8651699479851005,0.8064513103492571,0.9704968714152065,1.961044094123104,0.6360675619907705,1.8383965804521447,3.7546655089725003,0.07430344769633887,-1.1462832312818663,0.9189097308421155,3.1205625092001115,1.9192585601739043,2.6361745733384123,2.7169775127400606,2.3764839704786813,2.664150422793614
