Date,ADP,Boeing,Cummins,Delta Air Lines,Dover,Eaton,Equifax,FedEx,General Dynamics,Honeywell,Huntington Ingalls Industries,IDEX,Ingersoll-Rand,Johnson Controls,Lockheed Martin,Paccar,Parker Hannifin,Paychex,Quanta Services,Republic Services,Rockwell Automation,Southwest Airlines,Textron,TransDigm Group,UPS,United Rentals,Wabtec,Waste Management
2019-01-02,-3.0198250527180965,-3.9869070626126177,-1.9793067124026107,-8.94390003711124,-2.0491215220668857,-2.8858815614627176,-1.8271760112945215,-3.6766958209675336,-2.47361027949123,-1.3350535242719894,-1.9318660510322845,-2.9028426983004745,-2.0000003633045185,-1.6065566266169198,-2.512002469718455,-2.3159352548436636,-3.6904069913440183,-1.6904848306132536,-1.2366338178139096,-0.23765996343692872,-3.5328441728354503,-3.2456487040872775,-2.5385159031657847,-4.151334125391712,-2.8392162969079893,-3.446316317925153,-1.947498224007032,-0.27051156499931034
2019-01-03,3.9854262302345878,5.204243484536206,4.153275545078025,4.7796541898774105,4.542195339389988,2.8515707702230775,3.1859029765498432,4.605884675823299,2.8688852418046062,3.498115707478639,3.537390417344503,6.531055883839156,1.7492741092621784,3.998663267039663,2.696846843917266,4.4409028683729,4.480810312935817,3.4860023213777134,5.482236484127051,2.031946378699791,3.153780272378938,4.933128633831555,4.36331918758834,4.736603902912946,3.4833255921969037,7.991756842720524,2.547490727617781,2.6559656249571395
2019-01-04,-0.540998692585524,0.31490730756444657,0.49203068073339457,0.1255441670733453,1.3294973038309161,0.2918496734267282,-0.6047742120150862,1.3987734319814138,0.5577673830215149,0.5571224599687742,0.2403852344685028,1.9172753077061189,3.199618238806766,1.634092418591462,1.1469883524503817,-0.11858002528052856,0.3634461409521674,-0.5286986257638903,0.38498825453858104,0.39829820800909366,0.832611709415261,0.020890767667563724,-0.9598992164817052,0.16423660632574966,-0.33762452309451607,3.622996088870109,-0.9543863932291667,0.24221206238917728
2019-01-07,0.5899059830398669,3.7853201615996563,0.2630814235500526,-0.7941426656961694,2.20478458905654,-0.800237196121608,0.7578982516649598,0.17393903457887142,0.006309338802452872,-0.20683955439620164,-0.6735074683513996,2.328750681020245,1.1568717859278808,0.6935725897399546,0.6677143519027098,0.9667598246002743,2.0871728121099404,0.7593014602673057,1.534034925509169,1.2038370741198303,1.307963841771463,-0.6893629072918573,2.4122311533991394,1.2678202757420862,0.01026024685372164,1.8752184876831608,0.6093245104652006,1.4167965325597232
2019-01-08,0.09139003381454494,0.969074033065594,0.19679612133139834,2.106593583915623,1.0455279791595145,1.2906970511573392,1.705689819644313,2.137463761290494,1.41181783856844,0.466356597173973,-1.2174424099653447,0.47442506938846984,2.378767318829823,0.09392228802527336,0.24827266456333186,-1.5118484696964372,0.7739419055939084,-0.06028774144274556,0.12590181807484468,-0.09461975080818673,0.5998944739722529,3.2393792298484247,-0.5678243156589285,0.18505021556250076,0.513241643807981,1.900910927115778,1.830990213743398,-0.5089816005501868
2019-01-09,0.7913624710182275,2.5535872734158716,1.3530229096058555,0.5364108004646579,1.480032620034061,1.636265454330129,0.6875038146972656,-0.2755151127221934,0.9509004582568261,1.495728496580501,0.11960256052474365,0.7599336646797067,0.4915130226832169,-0.2815144026302568,2.5726292730276348,0.9039720056000513,1.094404296875,1.6588842467436717,1.9176319184036121,0.8659171396801579,-0.6287277860889453,-0.18337438718460738,1.3536366458805313,0.9783592058982684,1.0110350405194573,0.26166755752474546,1.1203285261466622,1.436812512638463
2019-01-10,-0.6115150055311092,0.0822462655539173,0.1507151742757825,-0.3488573169346492,0.49044558202637617,0.042739390587594885,-0.010347750725763294,0.5114098289135584,0.8495997937813504,-0.2831265729743757,1.0336080121442472,-0.007329402568776834,0.9782094957467143,0.9410324727309864,0.08288684192004504,0.47329716657162363,0.012654477603361724,-0.17801919605811242,-0.3701386140105061,0.13413611003029446,1.656779456898175,-0.9593819240665808,0.18781334730145186,-0.11146778476355747,-1.0110200818676967,-1.1197186771536574,0.5197609769465182,0.4936141994007325
2019-01-11,-0.5696923925341923,-0.7197530713664256,0.4944836424001899,-1.6680423195715408,0.25686738591625147,0.22784965812229543,-0.4966408167154083,0.3275030941010981,0.43953435775224,0.1820030757364748,0.7762669513007732,-1.2155855973833902,-3.1263721404467106,0.5904245646586439,-0.07921406113866285,0.8916533891906666,-1.1457131330193038,-0.0891626657414793,-0.6501519796684898,-1.0716718491699904,0.22456902856590102,0.49463697754588387,0.020833444241098092,-0.41201786592455125,1.2562513344232096,-0.6045117947389702,-1.2926887683453516,-0.5766160242700282
2019-01-14,1.0924430872786455,0.536592351128809,-0.9484431801872294,0.16754310168520942,0.05124380832489532,-0.7104291269004245,1.2893891200722347,-0.5362857199528832,-0.8448303652594106,0.11627176463197159,0.7447873911946431,-0.1853224694671504,-0.3636360168457031,-2.0389245263829867,-0.5441280359221277,-0.666999538286136,-1.1333830397731963,1.353556429089474,-0.5609233540663139,1.3947174009188539,0.39693366715109907,1.7432369115627813,0.27072275484374003,0.23846954423542419,-1.593707727236124,-0.5053934801156248,-1.902394866282084,0.7195770213224819
2019-01-15,0.32493967341602575,-0.051099443780231346,1.7782586963566758,-0.6899473519158983,-0.4737453577673246,0.3148271742274064,1.0265886073351838,0.4278237746288635,0.2819705256762284,0.18146143791679167,-0.9722001699026737,0.8837745973617309,-0.3649631543230379,-0.12614004835558995,-1.3079657070878623,0.8225645139786211,0.9196978522462935,0.49897852998338643,0.03133885593749682,-0.6143150391898006,0.5420168377936894,0.34266915310186064,-0.24922688012279076,-0.06305747125632456,-0.5842555443709496,1.1622888130744502,1.1101647631778593,-1.1516334454176782
