Date,Amazon,Best Buy,Booking.com,Chipotle,"D.R. Horton, Inc.",Delphi Automotive,Expedia,Garmin,General Motors,Hasbro,Las Vegas Sands,Lennar,Lowe's,MGM Resorts,Marriott International,McDonald's,Norwegian Cruise Line,Ross Stores,Starbucks,TJX,Tractor Supply,Wynn Resorts
2019-01-02,-2.524149778493606,-2.052236017603961,-3.402441167093144,-0.8819056880706712,-0.3969361719064585,-1.1937912325720117,-3.0898433739446305,-1.8074233202839203,-4.131983991878913,-2.600652342776338,-3.5819767950048877,-1.0260207622147455,-1.1921518523255938,-1.9452154058340336,-5.322912031859161,-0.6588683847523735,-3.940542570913267,-0.8355179737901427,-4.337688011139475,-1.0523986169031907,-1.8849536790050148,-0.9674349822496
2019-01-03,5.006399867375017,0.4761904761904762,3.2727647642839837,3.538523604878267,4.611440030256966,3.641179790816694,4.21120515682969,3.795409438377632,3.348842886991279,3.709883611091279,5.649170584608552,4.197213236211351,2.961505574052325,4.331982436331237,5.966188148492016,1.9325357351430077,5.698844871035885,2.7202629477930134,3.31545742889522,2.738182703718367,2.0575157350946127,4.0332703293959336
2019-01-04,3.4353414158742774,5.706157955513181,-0.33361802989902506,6.626369911178321,1.7687116350446428,1.5170884368312134,1.29985079874887,0.7219068983997429,3.090305198654956,3.094442346416059,0.5437793397040233,2.8391222092123183,1.8962381242304518,2.8715551337727256,0.1855157983173296,1.0881772799470855,1.5802935730106136,4.206707430676569,0.0,2.68721886564351,1.4695085403884074,1.7757565130743687
2019-01-07,1.6612359945639903,2.9411823057971156,-1.4545953717197146,2.5188088496808403,-0.4010735822433397,5.4113614250753725,2.1037043588244853,0.9348682942787506,1.3096645953023713,2.545326837890345,2.0010827220556755,1.2033931778647513,2.070042546735709,2.6405086742631907,1.6202203179227475,0.21085610933222976,3.0199032772186367,2.9348932884234555,0.07865225310771512,1.4800567507828435,-0.05983436314184968,3.1332787676329126
2019-01-08,0.17143547179710558,0.7491294316114517,-2.218836747068938,0.22317018044496814,6.255038472630034,3.77555394514601,-2.0090608272175867,1.3893200723037662,1.0629098456992825,-0.28100396074627104,0.6009125607769307,7.927259183008584,-0.614563649493572,1.4700534338024398,-0.5102087983682994,-0.17165714668087673,1.5767331077440483,-1.3109073253605024,0.4086798814769583,-0.0845506539129512,1.3413114563120103,1.302038264690533
2019-01-09,-0.19284287379283552,-1.6600430032398872,1.6877969879550117,2.2347963909678343,-1.1874714475994779,0.9922381828041964,-0.3664332474921078,0.5633415725682844,-1.279138030232614,0.09393193938550273,-0.333799425195071,-2.4195294200772195,-1.0821348403307587,1.4125294495727836,0.77839388944166,0.6988794789210938,0.9400884886301759,0.4317102444683087,0.4852870508885264,-0.3807918414060811,0.059089039281870384,-2.5968358392750828
2019-01-10,-0.9455231305329372,-0.6330237684420359,-0.6820414735434454,-0.5239201737056335,1.2528710205129283,-1.139118629529199,0.017516876528455284,0.7872772430592149,7.0544220997179234,1.9589421336601904,0.40542842251407046,2.7451821649089623,1.3752861519657864,0.0,-0.5724714814557279,0.45166182960400014,0.04331916516539392,0.5290374846022544,-0.7166270161616219,0.7857271834483778,0.7558772840680072,1.929983389972785
2019-01-11,-1.4232985793521953,1.3625915424426218,1.6201627169766732,-0.9784026956843016,-2.9797988652623655,1.3538851177798077,0.8667465007784361,-1.21676064639779,1.2910154338258788,-0.49470813878757225,-2.0189566883176635,-2.6071949209366005,-0.40082155952345333,-2.1428585052490106,-1.1789443768182126,-0.6305828410783313,-1.4072260889953303,-0.6358972008294206,-0.5648840623527327,-1.4327861742379338,0.7033110418067293,-4.799651634665752
2019-01-14,3.5462313843586295,-1.0649452223313358,0.3207569724841241,2.490089520838437,0.15617224401513488,-0.7815873671889646,1.319333638173594,0.7603406079035466,-0.2920887169337613,1.4568183227557703,1.4155117029044544,1.5044219087308832,-2.063770430732091,-0.21897615612304416,1.8958689575783068,-0.1103614098306096,1.075972450414397,0.24274658211450212,1.1204085705178735,1.1543414485216306,1.2105703219114428,-0.30527459362886966
2019-01-15,0.5505997778829924,-0.5999582651776759,-1.0445712483642249,0.06414488272404345,-1.6372169324579675,0.7590930701997182,-0.6253776543648429,0.6338638023008162,0.3195710634431408,-0.7635306768607549,0.3180217491668238,-1.1333898310470998,-1.0009530512914584,0.5120679914670218,-0.8168465450953788,-0.9225489611809415,-0.3910499890274926,-0.6604276105651287,-0.48377241640586477,0.4437850503528906,0.2070224652553237,3.4610777332464275
2019-01-16,0.5606434395265677,2.6451230522561366,2.6145873801090387,0.5516480344939563,-0.6340762838699088,1.1229579710907216,0.6120681762695312,0.5398929344690162,1.5662335579147428,1.5043609681305443,0.47552036556596816,-1.278656421268407,-2.032775703837245,0.9461434978636724,-0.7412130011363106,0.9813183423144954,2.0501689698786327,0.6094216639975604,0.7997464605178836,0.988851741582289,1.5723640450456495,2.4843019220326514
2019-01-17,0.17598946424279607,1.5392587242232487,2.0730530750827385,-0.8538412030747273,-1.1433137415515766,2.5161666163688587,1.5165832288113028,1.2828171220271793,0.9147995404416255,0.5204198299004942,1.1393541359710577,-1.5185321322448126,3.1830529147601627,2.956019111715968,0.534711740137762,0.8061436193180104,1.5815299194062822,2.4339196147525914,0.6533885764176217,2.4166663487752276,1.1073397573981956,0.7963627276124468
2019-01-18,-3.774908655967103,-1.601087789758782,-2.9132072184215727,1.332708005622375,-2.0441154652832796,-1.6591239262435373,-2.388590269135127,-0.7511076948004047,-1.1913988013492232,0.23635237825448208,-1.126519094080152,-1.3378678323402946,-3.6007640318641525,-2.415961623289956,-1.6414496702744128,1.0954701866491576,-1.9566596445630142,-1.4837166445725418,1.0664644110543446,-0.8543494105959037,-0.13410911918562948,-2.7956252927344623
2019-01-22,0.48095706023667917,-0.7962594440499737,2.0673155745823903,0.2480363748786374,2.416257859303232,-2.0496391462397043,0.8646778960709576,0.37097492545518806,-1.2582000989121462,-0.9656418526013958,0.42068655859137705,0.34474432677541744,0.2948932718004061,-0.21529017396565692,0.7738152015007139,0.8235298008098713,0.25751663199877756,-0.13095615058855145,1.5904586714095934,-0.2051749802514679,-0.38047721069468493,0.9735655378692396
2019-01-23,0.9091336230296979,0.5060148209405252,2.944427289133282,2.305467544534133,2.680965202289923,2.234875010425934,0.6600914127683025,0.5617936972898956,1.3007743623166625,1.3605494548269763,-1.6058683346839142,2.7714134677114597,-0.032667732438975236,0.28766603826810727,0.13877466089459886,0.6878385751444179,0.57791192360677,-0.3387664525750727,-2.544034974623621,0.08223872538916344,-1.6063872821718832,1.2030080262173246
2019-01-24,0.9450615167288123,3.0208363273630354,0.36365250897500256,1.8710532693593291,-2.6109661094519336,1.6429968117374123,-0.264007463317906,0.8232949362330867,1.2578604406595149,0.8165500168674314,1.0289193578937945,-0.6908797167769041,2.2004319999069337,2.9042717497930437,1.4874359221421252,-1.7985777899389876,2.0004226285008615,1.4364092454210662,3.629901995156265,0.3903012027893994,2.2947849942898215,3.6010794382589215
2019-01-25,-1.9562216712664893,0.26963236771264415,0.6325620047079402,-2.0924951920946477,-2.4396779250010048,0.041094218214897255,-0.059772602219618935,-1.3852501491280709,-0.4658393064674916,0.6657118848329772,-1.2115933839552697,-0.08976851202523105,-0.7141314976813781,-0.8362427598842194,0.6190262308797195,-0.21738798721978447,0.9180025535311139,-1.048536588805514,-0.283193951978821,0.18416237887243103,-0.5468726134859128,-0.30372109513125894
2019-01-28,-2.686994204251954,-1.2100860852153241,-0.26466881639528983,-0.364663893900509,0.7969247606248598,-0.8215780968781641,0.03417713193303875,1.5525700050279776,0.026006595082075507,-0.1102238507830902,0.01777841544414069,3.2120347433306398,0.30058913012372396,-0.3513649941600137,0.5337953259759584,-0.7788713981654394,0.7235937493222544,-0.07646896889242345,0.20926664642045126,-0.44934111544056404,0.886539301044825,-1.260893532078527
2019-01-29,4.80274472096141,0.34025309134557014,0.5473293585654224,0.5508824806830845,2.4809155938957357,1.8776758313148567,1.9986302539243601,0.611529072625326,1.6116426103753416,0.46342911957222194,4.8693759400733905,0.9793226194658937,2.4831421248488392,2.221435638956411,2.2678154974612843,-0.21957177389519827,4.371915435241899,0.8964684419820712,1.6557288114452753,0.3282721417771245,-0.3114558247225062,3.2567732617577385
2019-01-30,2.8914721671859716,0.4408310244971737,0.7758284911128484,-0.6322936790046273,2.2878441257264948,7.236747894885783,-0.14235318334608216,0.11577689265022095,-0.17907315055250655,-0.5381718580344124,-1.1015043715811317,2.198284504788954,0.42820225807767626,1.5522620437816455,0.7831744055161516,-1.6449388913927838,1.1406132713059431,-0.1841999861944924,-0.014676648578900758,1.6973374037998128,-4.70876965370406,2.099932527227381
